BGC,SIClass,Area,Var
ESSFdh1,4,13705,AllForest
ESSFdh1,5,1490,AllForest
ESSFdh1,6,40,AllForest
ESSFdh2,3,3389,AllForest
ESSFdh2,4,1680,AllForest
ESSFdh2,5,100,AllForest
ESSFdh2,6,23,AllForest
ESSFdk1,3,107815,AllForest
ESSFdk1,4,61439,AllForest
ESSFdk1,5,4584,AllForest
ESSFdk1,6,42,AllForest
ESSFdk1,7,7,AllForest
ESSFdk2,3,126473,AllForest
ESSFdk2,4,73858,AllForest
ESSFdk2,5,6752,AllForest
ESSFdk2,6,172,AllForest
ESSFdk2,7,71,AllForest
ESSFdkp,3,138,AllForest
ESSFdkp,4,56,AllForest
ESSFdkw,3,30513,AllForest
ESSFdkw,4,5605,AllForest
ESSFdkw,5,339,AllForest
ESSFdv1,3,14224,AllForest
ESSFdv1,4,3009,AllForest
ESSFdv1,5,227,AllForest
ESSFdv1,6,15,AllForest
ESSFdv2,3,12615,AllForest
ESSFdv2,4,2122,AllForest
ESSFdv2,5,40,AllForest
ESSFdvp,3,9,AllForest
ESSFdvp,4,2,AllForest
ESSFdvw,3,1316,AllForest
ESSFdvw,4,125,AllForest
ESSFdvw,5,3,AllForest
ESSFmc,3,217119,AllForest
ESSFmc,4,63272,AllForest
ESSFmc,5,6500,AllForest
ESSFmc,6,318,AllForest
ESSFmc,7,28,AllForest
ESSFmcp,3,73,AllForest
ESSFmcp,4,1,AllForest
ESSFmh,3,55276,AllForest
ESSFmh,4,72233,AllForest
ESSFmh,5,16241,AllForest
ESSFmh,6,547,AllForest
ESSFmh,7,53,AllForest
ESSFmk,3,24265,AllForest
ESSFmk,4,1878,AllForest
ESSFmk,5,60,AllForest
ESSFmk,7,1,AllForest
ESSFmkp,3,24,AllForest
ESSFmm1,3,61442,AllForest
ESSFmm1,4,12643,AllForest
ESSFmm1,5,1242,AllForest
ESSFmm1,6,17,AllForest
ESSFmm1,7,9,AllForest
ESSFmm2,3,4943,AllForest
ESSFmm2,4,3742,AllForest
ESSFmm2,5,220,AllForest
ESSFmm3,3,50223,AllForest
